"","dateRep","day","month","year","cases","deaths","country","popData2019","continentExp"
"215","11/05/2020",11,5,2020,369,5,"Afghanistan",38041757,"Asia"
"216","10/05/2020",10,5,2020,255,6,"Afghanistan",38041757,"Asia"
"217","09/05/2020",9,5,2020,215,3,"Afghanistan",38041757,"Asia"
"218","08/05/2020",8,5,2020,171,2,"Afghanistan",38041757,"Asia"
"219","07/05/2020",7,5,2020,168,9,"Afghanistan",38041757,"Asia"
"220","06/05/2020",6,5,2020,330,5,"Afghanistan",38041757,"Asia"
"221","05/05/2020",5,5,2020,190,5,"Afghanistan",38041757,"Asia"
"222","04/05/2020",4,5,2020,235,13,"Afghanistan",38041757,"Asia"
"223","03/05/2020",3,5,2020,134,4,"Afghanistan",38041757,"Asia"
"224","02/05/2020",2,5,2020,164,4,"Afghanistan",38041757,"Asia"
"225","01/05/2020",1,5,2020,222,4,"Afghanistan",38041757,"Asia"
"226","30/04/2020",30,4,2020,122,0,"Afghanistan",38041757,"Asia"
"227","29/04/2020",29,4,2020,124,3,"Afghanistan",38041757,"Asia"
"228","28/04/2020",28,4,2020,172,0,"Afghanistan",38041757,"Asia"
"229","27/04/2020",27,4,2020,68,10,"Afghanistan",38041757,"Asia"
"230","26/04/2020",26,4,2020,112,4,"Afghanistan",38041757,"Asia"
"231","25/04/2020",25,4,2020,70,1,"Afghanistan",38041757,"Asia"
"232","24/04/2020",24,4,2020,105,2,"Afghanistan",38041757,"Asia"
"233","23/04/2020",23,4,2020,84,4,"Afghanistan",38041757,"Asia"
"234","22/04/2020",22,4,2020,61,1,"Afghanistan",38041757,"Asia"
"235","21/04/2020",21,4,2020,35,2,"Afghanistan",38041757,"Asia"
"236","20/04/2020",20,4,2020,88,3,"Afghanistan",38041757,"Asia"
"237","19/04/2020",19,4,2020,63,0,"Afghanistan",38041757,"Asia"
"238","18/04/2020",18,4,2020,51,1,"Afghanistan",38041757,"Asia"
"239","17/04/2020",17,4,2020,10,4,"Afghanistan",38041757,"Asia"
"240","16/04/2020",16,4,2020,70,2,"Afghanistan",38041757,"Asia"
"241","15/04/2020",15,4,2020,49,2,"Afghanistan",38041757,"Asia"
"242","14/04/2020",14,4,2020,58,3,"Afghanistan",38041757,"Asia"
"243","13/04/2020",13,4,2020,52,0,"Afghanistan",38041757,"Asia"
"244","12/04/2020",12,4,2020,34,3,"Afghanistan",38041757,"Asia"
"245","11/04/2020",11,4,2020,37,0,"Afghanistan",38041757,"Asia"
"246","10/04/2020",10,4,2020,61,1,"Afghanistan",38041757,"Asia"
"247","09/04/2020",9,4,2020,56,3,"Afghanistan",38041757,"Asia"
"248","08/04/2020",8,4,2020,30,4,"Afghanistan",38041757,"Asia"
"249","07/04/2020",7,4,2020,38,0,"Afghanistan",38041757,"Asia"
"250","06/04/2020",6,4,2020,29,2,"Afghanistan",38041757,"Asia"
"251","05/04/2020",5,4,2020,35,1,"Afghanistan",38041757,"Asia"
"252","04/04/2020",4,4,2020,0,0,"Afghanistan",38041757,"Asia"
"253","03/04/2020",3,4,2020,43,0,"Afghanistan",38041757,"Asia"
"254","02/04/2020",2,4,2020,26,0,"Afghanistan",38041757,"Asia"
"255","01/04/2020",1,4,2020,25,0,"Afghanistan",38041757,"Asia"
"256","31/03/2020",31,3,2020,27,0,"Afghanistan",38041757,"Asia"
"257","30/03/2020",30,3,2020,8,1,"Afghanistan",38041757,"Asia"
"258","29/03/2020",29,3,2020,15,1,"Afghanistan",38041757,"Asia"
"259","28/03/2020",28,3,2020,16,1,"Afghanistan",38041757,"Asia"
"260","27/03/2020",27,3,2020,0,0,"Afghanistan",38041757,"Asia"
"261","26/03/2020",26,3,2020,33,0,"Afghanistan",38041757,"Asia"
"262","25/03/2020",25,3,2020,2,0,"Afghanistan",38041757,"Asia"
"263","24/03/2020",24,3,2020,6,1,"Afghanistan",38041757,"Asia"
"264","23/03/2020",23,3,2020,10,0,"Afghanistan",38041757,"Asia"
"265","22/03/2020",22,3,2020,0,0,"Afghanistan",38041757,"Asia"
"266","21/03/2020",21,3,2020,2,0,"Afghanistan",38041757,"Asia"
"267","20/03/2020",20,3,2020,0,0,"Afghanistan",38041757,"Asia"
"268","19/03/2020",19,3,2020,0,0,"Afghanistan",38041757,"Asia"
"269","18/03/2020",18,3,2020,1,0,"Afghanistan",38041757,"Asia"
"270","17/03/2020",17,3,2020,5,0,"Afghanistan",38041757,"Asia"
"271","16/03/2020",16,3,2020,6,0,"Afghanistan",38041757,"Asia"
"272","15/03/2020",15,3,2020,3,0,"Afghanistan",38041757,"Asia"
"273","11/03/2020",11,3,2020,3,0,"Afghanistan",38041757,"Asia"
"274","08/03/2020",8,3,2020,3,0,"Afghanistan",38041757,"Asia"
"275","02/03/2020",2,3,2020,0,0,"Afghanistan",38041757,"Asia"
